,Timestamp,StimuliName,FixationIndex,FixationDuration,MappedFixationPointX,MappedFixationPointY,user,description,closeness
0,2586,01_Antwerpen_S1.jpg,9,250,1151,458,p1,color,0
1,2836,01_Antwerpen_S1.jpg,10,150,1371,316,p1,color,0
2,2986,01_Antwerpen_S1.jpg,11,283,1342,287,p1,color,0
3,3269,01_Antwerpen_S1.jpg,12,433,762,303,p1,color,1
4,3702,01_Antwerpen_S1.jpg,13,183,624,297,p1,color,0
5,3885,01_Antwerpen_S1.jpg,14,333,712,303,p1,color,1
6,4218,01_Antwerpen_S1.jpg,15,300,753,293,p1,color,1
7,4518,01_Antwerpen_S1.jpg,16,516,804,284,p1,color,0
8,5035,01_Antwerpen_S1.jpg,17,183,724,305,p1,color,1
9,5218,01_Antwerpen_S1.jpg,18,250,652,703,p1,color,0
10,5468,01_Antwerpen_S1.jpg,19,183,495,855,p1,color,0
11,5651,01_Antwerpen_S1.jpg,20,550,425,976,p1,color,0
12,6200,01_Antwerpen_S1.jpg,21,150,620,739,p1,color,0
13,6517,01_Antwerpen_S1.jpg,22,333,601,674,p1,color,1
14,647603,01_Antwerpen_S2.jpg,1465,316,264,421,p10,color,1
15,648119,01_Antwerpen_S2.jpg,1466,83,998,1004,p10,color,0
16,648202,01_Antwerpen_S2.jpg,1467,150,1017,1047,p10,color,1
17,648352,01_Antwerpen_S2.jpg,1468,600,977,1059,p10,color,1
18,648952,01_Antwerpen_S2.jpg,1469,167,779,1087,p10,color,0
19,649118,01_Antwerpen_S2.jpg,1470,200,632,1075,p10,color,0
20,649318,01_Antwerpen_S2.jpg,1471,183,523,894,p10,color,1
21,649501,01_Antwerpen_S2.jpg,1472,217,470,892,p10,color,0
22,649718,01_Antwerpen_S2.jpg,1473,366,520,903,p10,color,1
23,650084,01_Antwerpen_S2.jpg,1474,150,511,545,p10,color,0
24,650234,01_Antwerpen_S2.jpg,1475,167,305,418,p10,color,1
25,650401,01_Antwerpen_S2.jpg,1476,766,249,405,p10,color,1
26,651167,01_Antwerpen_S2.jpg,1477,283,501,420,p10,color,0
27,651450,01_Antwerpen_S2.jpg,1478,283,234,398,p10,color,0
28,651733,01_Antwerpen_S2.jpg,1479,233,768,432,p10,color,0
29,651966,01_Antwerpen_S2.jpg,1480,516,662,424,p10,color,1
30,652666,01_Antwerpen_S2.jpg,1481,1083,696,441,p10,color,1
31,653749,01_Antwerpen_S2.jpg,1482,233,898,495,p10,color,0
32,654182,01_Antwerpen_S2.jpg,1483,283,985,478,p10,color,0
33,654465,01_Antwerpen_S2.jpg,1484,183,662,419,p10,color,1
34,654648,01_Antwerpen_S2.jpg,1485,133,460,420,p10,color,1
35,654781,01_Antwerpen_S2.jpg,1486,350,250,420,p10,color,1
36,655131,01_Antwerpen_S2.jpg,1487,183,942,492,p10,color,0
37,655314,01_Antwerpen_S2.jpg,1488,166,1006,512,p10,color,0
38,655481,01_Antwerpen_S2.jpg,1489,250,1051,683,p10,color,0
39,655731,01_Antwerpen_S2.jpg,1490,200,1052,911,p10,color,0
40,655931,01_Antwerpen_S2.jpg,1491,466,1032,991,p10,color,0
