Timestamp,StimuliName,FixationIndex,FixationDuration,MappedFixationPointX,MappedFixationPointY,user,description,closeness
326117,01_Antwerpen_S1.jpg,1036,266,1411,326,p13,color,0
326383,01_Antwerpen_S1.jpg,1037,266,1320,311,p13,color,0
326650,01_Antwerpen_S1.jpg,1038,216,1151,286,p13,color,0
326866,01_Antwerpen_S1.jpg,1039,600,1331,306,p13,color,0
327466,01_Antwerpen_S1.jpg,1040,433,1040,275,p13,color,0
327899,01_Antwerpen_S1.jpg,1041,150,966,270,p13,color,0
328049,01_Antwerpen_S1.jpg,1042,316,1332,285,p13,color,0
328365,01_Antwerpen_S1.jpg,1043,167,888,316,p13,color,0
328532,01_Antwerpen_S1.jpg,1044,333,729,304,p13,color,0
328865,01_Antwerpen_S1.jpg,1045,949,773,293,p13,color,0
329814,01_Antwerpen_S1.jpg,1046,150,1024,287,p13,color,0
329964,01_Antwerpen_S1.jpg,1047,167,1226,279,p13,color,0
330131,01_Antwerpen_S1.jpg,1048,167,1332,273,p13,color,0
330297,01_Antwerpen_S1.jpg,1049,266,741,308,p13,color,0
330564,01_Antwerpen_S1.jpg,1050,166,688,517,p13,color,0
330730,01_Antwerpen_S1.jpg,1051,117,663,643,p13,color,0
330847,01_Antwerpen_S1.jpg,1052,167,511,796,p13,color,0
331014,01_Antwerpen_S1.jpg,1053,166,490,866,p13,color,0
331180,01_Antwerpen_S1.jpg,1054,216,440,948,p13,color,0
331397,01_Antwerpen_S1.jpg,1055,267,402,980,p13,color,0
331663,01_Antwerpen_S1.jpg,1056,116,1359,355,p13,color,0
331780,01_Antwerpen_S1.jpg,1057,500,1341,302,p13,color,0
332279,01_Antwerpen_S1.jpg,1058,133,1060,285,p13,color,0
278700,01_Antwerpen_S1.jpg,887,150,749,551,p16,color,0
278850,01_Antwerpen_S1.jpg,888,216,419,898,p16,color,0
279066,01_Antwerpen_S1.jpg,889,150,427,946,p16,color,0
279216,01_Antwerpen_S1.jpg,890,250,1246,245,p16,color,0
279466,01_Antwerpen_S1.jpg,891,183,1337,230,p16,color,0
279649,01_Antwerpen_S1.jpg,892,166,1115,306,p16,color,0
279816,01_Antwerpen_S1.jpg,893,266,821,243,p16,color,0
280082,01_Antwerpen_S1.jpg,894,266,1286,250,p16,color,0
280348,01_Antwerpen_S1.jpg,895,233,1018,252,p16,color,0
280582,01_Antwerpen_S1.jpg,896,267,778,239,p16,color,0
280849,01_Antwerpen_S1.jpg,897,166,698,476,p16,color,0
281015,01_Antwerpen_S1.jpg,898,167,694,630,p16,color,0
281181,01_Antwerpen_S1.jpg,899,200,564,785,p16,color,0
281381,01_Antwerpen_S1.jpg,900,183,463,923,p16,color,0
281564,01_Antwerpen_S1.jpg,901,450,423,970,p16,color,0
282014,01_Antwerpen_S1.jpg,902,133,1337,203,p16,color,0
282147,01_Antwerpen_S1.jpg,903,100,1285,271,p16,color,0
282247,01_Antwerpen_S1.jpg,904,133,1331,238,p16,color,0
282380,01_Antwerpen_S1.jpg,905,100,1314,283,p16,color,0
282480,01_Antwerpen_S1.jpg,906,333,1348,245,p16,color,0
282813,01_Antwerpen_S1.jpg,907,117,1355,333,p16,color,0
282930,01_Antwerpen_S1.jpg,908,233,979,236,p16,color,0
283163,01_Antwerpen_S1.jpg,909,350,748,298,p16,color,0
283513,01_Antwerpen_S1.jpg,910,316,604,774,p16,color,0
283830,01_Antwerpen_S1.jpg,911,233,514,865,p16,color,0
284063,01_Antwerpen_S1.jpg,912,516,425,996,p16,color,0
284579,01_Antwerpen_S1.jpg,913,150,526,836,p16,color,0
284729,01_Antwerpen_S1.jpg,914,217,671,496,p16,color,0
175217,01_Antwerpen_S1.jpg,416,350,1344,307,p17,color,0
175567,01_Antwerpen_S1.jpg,417,216,980,292,p17,color,0
