,index,Timestamp,StimuliName,FixationIndex,FixationDuration,MappedFixationPointX,MappedFixationPointY,user,description,closeness
0,2689,647603,01_Antwerpen_S2.jpg,1465,316,264,421,p10,color,26
1,2690,648119,01_Antwerpen_S2.jpg,1466,83,998,1004,p10,color,2
2,2691,648202,01_Antwerpen_S2.jpg,1467,150,1017,1047,p10,color,12
3,2692,648352,01_Antwerpen_S2.jpg,1468,600,977,1059,p10,color,11
4,2693,648952,01_Antwerpen_S2.jpg,1469,167,779,1087,p10,color,0
5,2694,649118,01_Antwerpen_S2.jpg,1470,200,632,1075,p10,color,0
6,2695,649318,01_Antwerpen_S2.jpg,1471,183,523,894,p10,color,1
7,2696,649501,01_Antwerpen_S2.jpg,1472,217,470,892,p10,color,0
8,2697,649718,01_Antwerpen_S2.jpg,1473,366,520,903,p10,color,1
9,2698,650084,01_Antwerpen_S2.jpg,1474,150,511,545,p10,color,0
10,2699,650234,01_Antwerpen_S2.jpg,1475,167,305,418,p10,color,8
11,2700,650401,01_Antwerpen_S2.jpg,1476,766,249,405,p10,color,12
12,2701,651167,01_Antwerpen_S2.jpg,1477,283,501,420,p10,color,2
13,2702,651450,01_Antwerpen_S2.jpg,1478,283,234,398,p10,color,2
14,2703,651733,01_Antwerpen_S2.jpg,1479,233,768,432,p10,color,3
15,2704,651966,01_Antwerpen_S2.jpg,1480,516,662,424,p10,color,4
16,2705,652666,01_Antwerpen_S2.jpg,1481,1083,696,441,p10,color,5
17,2706,653749,01_Antwerpen_S2.jpg,1482,233,898,495,p10,color,0
18,2707,654182,01_Antwerpen_S2.jpg,1483,283,985,478,p10,color,8
19,2708,654465,01_Antwerpen_S2.jpg,1484,183,662,419,p10,color,5
20,2709,654648,01_Antwerpen_S2.jpg,1485,133,460,420,p10,color,2
21,2710,654781,01_Antwerpen_S2.jpg,1486,350,250,420,p10,color,16
22,2711,655131,01_Antwerpen_S2.jpg,1487,183,942,492,p10,color,1
23,2712,655314,01_Antwerpen_S2.jpg,1488,166,1006,512,p10,color,10
24,2713,655481,01_Antwerpen_S2.jpg,1489,250,1051,683,p10,color,2
25,2714,655731,01_Antwerpen_S2.jpg,1490,200,1052,911,p10,color,2
26,2715,655931,01_Antwerpen_S2.jpg,1491,466,1032,991,p10,color,9
27,2716,656397,01_Antwerpen_S2.jpg,1492,500,987,1048,p10,color,12
28,2717,657246,01_Antwerpen_S2.jpg,1493,83,467,419,p10,color,2
29,2718,657330,01_Antwerpen_S2.jpg,1494,383,240,414,p10,color,4
30,2719,657946,01_Antwerpen_S2.jpg,1495,183,105,390,p10,color,0
31,2720,658129,01_Antwerpen_S2.jpg,1496,250,252,369,p10,color,8
32,2721,658529,01_Antwerpen_S2.jpg,1497,149,1093,1048,p10,color,0
33,2722,658679,01_Antwerpen_S2.jpg,1498,217,1233,1160,p10,color,0
34,2723,658895,01_Antwerpen_S2.jpg,1499,133,1001,1043,p10,color,13
35,2724,659029,01_Antwerpen_S2.jpg,1500,266,690,539,p10,color,1
36,2725,659295,01_Antwerpen_S2.jpg,1501,133,440,417,p10,color,5
37,2726,659428,01_Antwerpen_S2.jpg,1502,350,298,414,p10,color,7
38,5240,276771,01_Antwerpen_S2.jpg,781,316,478,419,p11,color,1
39,5241,277087,01_Antwerpen_S2.jpg,782,167,265,323,p11,color,1
40,5242,277254,01_Antwerpen_S2.jpg,783,216,270,403,p11,color,25
41,5243,277604,01_Antwerpen_S2.jpg,784,83,264,342,p11,color,3
42,5244,277687,01_Antwerpen_S2.jpg,785,200,252,380,p11,color,15
43,5245,277887,01_Antwerpen_S2.jpg,786,266,503,387,p11,color,1
44,5246,278153,01_Antwerpen_S2.jpg,787,483,1003,396,p11,color,2
45,5247,278636,01_Antwerpen_S2.jpg,788,550,701,390,p11,color,6
46,5248,279186,01_Antwerpen_S2.jpg,789,283,909,425,p11,color,0
47,5249,279469,01_Antwerpen_S2.jpg,790,150,1043,512,p11,color,0
48,5250,279619,01_Antwerpen_S2.jpg,791,217,1059,1068,p11,color,1
49,5251,279836,01_Antwerpen_S2.jpg,792,350,1040,1004,p11,color,13
50,5252,280185,01_Antwerpen_S2.jpg,793,1033,981,1067,p11,color,15
